"ID_ASS_COLLECTION_TARIf_GROUPE","ID_TARIF_GROUPE","GROUPE","TARIF","TARIF_MAX"
"1","1","1","150","15000"
"2","1","2","250","20000"
"3","1","3","350","25000"
"4","1","4","450","30000"
"5","2","1","35","15223"
"6","2","2","151","17476"
"7","2","3","209","19729"
"8","2","4","265","21982"
"9","3","1","35","12000"
"10","3","2","159","14000"
"11","3","3","196","24000"
"12","3","4","255","30000"
"13","2","5","311","24235"
"14","2","6","366","26488"
"15","2","7","412","28741"
"16","2","8","489","30994"
"17","3","5","332","34000"
"18","3","6","431","36000"
"19","3","7","582","38000"
"20","3","8","785","40000"
"21","3","9","1021","43000"
"22","4","1","35","121200"
"23","4","2","153","14140"
"24","4","3","199","24240"
"25","4","4","259","30300"
"26","4","5","336","34340"
"27","4","6","437","36360"
"28","4","7","582","38830"
"29","4","8","797","40400"
"30","4","9","1037","43430"
"31","5","1","35","12000"
"32","5","2","153","14000"
"33","5","3","199","24000"
"34","5","4","259","30000"
"35","5","5","332","34000"
"36","5","6","431","36000"
"37","5","7","582","38000"
"38","5","8","785","40000"
"39","5","9","1021","43000"
"40","6","1","35","1236"
"41","6","2","156","14423"
"42","6","3","203","24725"
"43","6","4","264","30906"
"44","6","5","343","35026"
"45","6","6","446","37087"
"46","6","7","603","39148"
"47","6","8","814","41208"
"48","6","9","1058","44299"
"49","8","1","35","1236"
"50","8","2","156","14423"
"51","8","3","203","24725"
"52","8","4","264","30906"
"53","8","5","343","35026"
"54","8","6","446","37087"
"55","8","7","603","39148"
"56","8","8","814","41208"
"57","8","9","1058","44299"
"58","9","1","37","12610"
"59","9","2","159","14711"
"60","9","3","207","25219"
"61","9","4","269","31524"
"62","9","5","350","35727"
"63","9","6","455","37859"
"64","9","7","615","39931"
"65","9","8","830","42032"
"66","9","9","1079","45185"
"67","10","1","38","12610"
"68","10","2","163","14711"
"69","10","3","211","25219"
"70","10","4","275","31524"
"71","10","5","357","35727"
"72","10","6","465","37859"
"73","10","7","627","39931"
"74","10","8","847","42032"
"75","10","9","1101","45185"
"76","11","1","38","13119"
"77","11","2","166","15306"
"78","11","3","216","26238"
"79","11","4","280","32798"
"80","11","5","364","37171"
"81","11","6","474","39357"
"82","11","7","640","41544"
"83","11","8","864","43730"
"84","11","9","1123","47010"
"85","12","1","40","13775"
"86","12","2","174","16071"
"87","12","3","226","27550"
"88","12","4","294","34438"
"89","12","5","383","39029"
"90","12","6","498","41325"
"91","12","7","672","43621"
"92","12","8","907","45917"
"93","12","9","1179","49361"
